Code,Principles,Initiative,Task,Category,Wearable,Item Name,Full Outfit,Marketing Message,Points,Max Count,Max Points
DTDXHDB-01,,DATxHDB Sharing,Be part of the organising committee of DATxHDB Sharing,,,addon_002_slingbag_green,,,1500,1,1500
DTDXHDB-02,,DATxHDB Sharing,Attend DATxHDB Sharing,,,body_035_armour_orange,,,500,1,500
DTDXHDB-03,,DATxHDB Sharing,Submit feedback form for DATxHDB Sharing,,,hand_041_umbrella_green,,,500,1,500
DTDXHDB-04,,DATxHDB Sharing,Present about your DATxHDB 2022 projects during DATxHDB Sharing,,,body_008_shirt_yellow,,,1000,1,1000
DTDXHDB-05,,DSAI Roadshow,Be part of the organising committee of DSAI COE Roadshow,,,eye_002_bigspecs_green,,,1500,1,1500
DTDXHDB-06,,DSAI Roadshow,Attend DSAI COE Roadshow,,,face_005_twirlymoustache_white,,,500,1,500
DTDXHDB-07,,DSAI Roadshow,Submit feedback form for DSAI COE Roadshow,,,leg_017_overalls_darkgreen,,,500,1,500
DTDXHDB-08,,DSAI Roadshow,Lead and share about their DSAI projects during DSAI COE Roadshow,,,hair_015_hairband_yellow,,,1000,1,1000
DTDXHDB-09,,DS Huddle,Be part of the organising committee of HDB Data Science Huddle Q3 2023,,,hand_018_firetorch,,,1500,1,1500
DTDXHDB-10,,DS Huddle,Attend HDB Data Science Huddle Q3 2023,,,hand_049_key_white,,,500,1,500
DTDXHDB-11,,DS Huddle,Host or present about subject matter for Data Science Huddle Q3 2023,,,head_016_farmerhat_white,,,1000,1,1000
DTDXHDB-12,,DS Huddle,Submit feedback form for HDB Data Science Huddle Q3 2023,,,head_032_helmhornsup_blue,,,500,1,500
DTDXHDB-13,,Community Participation,Attend other sharing session on data science related topics organized by HDB. Participants must register and complete feedback form to qualify for the points.,,,hand_051_bucket_pink,,,1000,5,5000
DTDXHDB-14,,Community Participation,"Be an active contributor to the HDB DSAI Community by contributing DSAI-related articles, newsletter, topics and/or key takeaways from HDB DSAI formal/informal events like DSAI COE Roadshow or internal Book Club sharing",,,hair_017_curls,,,250,8,2000
DTDXHDB-15,,Community Participation,Host or present about subject matter for internal Book Club Sharing,,,face_013_healthmask_white,,,500,5,2500
,,,,,,,,,,,20000
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
admin access to bear (mascot):,,,,,,,,,,,
"Benjamin_JH_YONG@hdb.gov.sg, lynn_rx_koh@hdb.gov.sg, tay_jun_jie@hdb.gov.sg",,,,,,,,,,,
