Code,Principles,Initiative,Task,Category,Wearable,Item Name,Full Outfit,Marketing Message,Points,Max Count,Max Points
DTDXMOE-01,,Basic Digital Literacy,Complete a Basic Digital Literacy Module in OPAL 2.0,,,addon_002_slingbag_blue,,,1000,5,5000
DTDXMOE-02,,Data Analytics PLC,Attend Data Analytics Professional Learning Community (DA PLC),,,body_035_armour_green,,,1000,2,2000
DTDXMOE-03,,Data Analytics PLC,Complete feedback form for DA PLC,,,hand_041_umbrella_blue,,,500,2,1000
DTDXMOE-04,,Data Analytics PLC,Present or share a use case at DA PLC,,,body_008_shirt_white,,,2000,1,2000
DTDXMOE-05,,MOE Tableau Workshops,Attend Tableau Workshops organised by MOE for DATxMOE,,,eye_002_bigspecs_black,,,1000,2,2000
DTDXMOE-06,,MOE Tableau Workshops,Complete feedback form for Tableau Workshops organised by MOE,,,face_005_twirlymoustache,,,500,1,500
DTDXMOE-07,,Data at your Fingertips,Answer a quiz attached to Data at your Fingertips,,,hair_015_hairband_white,,,1250,1,1250
DTDXMOE-08,,"AI Series: The Journey of Data Explorer, C.P. Yoo","Answer a quiz attached to AI Series: The Journey of Data Explorer, C.P. Yoo",,,hand_017_handaxe,,,1250,1,1250
DTDXMOE-09,,e-Pedagogy: Using Data to Inform Teaching and Learning,Complete e-Pedagogy: Using Data to Inform Teaching and Learning in SLS (Schools only),,,hand_049_key_black,,,5000,1,5000
DTDXMOE-10,,MOE Data Science Community,Join the Data Science Community in SG-Teams (HQ only),,,head_016_farmerhat_red,,,2000,1,2000
DTDXMOE-11,,MOE Data Science Community,Post or comment to a post in the Data Science Community in SG-Teams (HQ only),,,leg_017_overalls_darkblue,,,1000,1,1000
DTDXMOE-12,,MOE Data Science Community,React to a post/comment on the Data Science Community in SG-Teams (HQ only),,,head_032_helmhornsup_black,,,500,2,1000
DTDXMOE-13,,Data Analytics Clinic,Attend Data Analytics Clinic (HQ only),,,hand_051_bucket_orange,,,1000,1,1000
,,,,,,,,,,,25000
,,,,,,,,,,,
admin access to bear (mascot):,,,,,,,,,,,
"li_zuxin@moe.gov.sg, KUNG_ying_xiang@moe.gov.sg, LIM_ghim_siang@moe.gov.sg",,,,,,,,,,,
