Code,Principles,Initiative,Task,Category,Wearable,Item Name,Full Outfit,Marketing Message,Points,Max Count,Max Points
DTDXPUB-01,,Training,Attend workshop (workshop/tutorials/masterclass etc; up to 5),,,addon_002_slingbag_pink,,,"1,500",5,"7,500"
DTDXPUB-02,,Training,Log in to Qlik Continuous Classroom (QCC),,,addon_013_smalljacket_green,,,500,1,500
DTDXPUB-03,,Training,Completion of QCC's modules (up to 3),,,addon_016_apron_green,,,500,3,"1,500"
DTDXPUB-04,,Training,Complete 2 quizzes on Data Classification and Data Loss Protection by watching the Data Management Videos on PUBTube,,,eye_002_bigspecs_pink,,,500,1,500
DTDXPUB-05,,Data Exploitation,2nd to 10th place from DATx PUB's internal judging,,,hand_023_longbow,,,"2,000",1,"2,000"
DTDXPUB-06,,Data Exploitation,Submit department use case on Qlik Sense's dashboards,,,head_016_farmerhat_blue,,,500,1,500
DTDXPUB-07,,Data Exploitation,Publish a dashboard in PUB Qlik Sense,,,neck_006_trianglescarf_green,,,"1,000",1,"1,000"
DTDXPUB-08,,Data Governance,Submit latest data dictionary and data catalogue for systems,,,pet_056_rocketship_green,,,500,1,500
DTDXPUB-09,,Engagement,Attend GetTogether Session for Data Analysts,,,head_039_capbackwards_blue,,,"2,000",1,"2,000"
DTDXPUB-10,,Engagement,Attend as an audience at Agency's Internal Judging,,,head_033_helmhornsdown_green,,,"1,500",1,"1,500"
DTDXPUB-11,,Engagement,Logging in to Data Catalogue via Data Portal or Data Analytics Platform (DAP),,,head_024_buckethat_purple,,,500,1,500
DTDXPUB-12,,Ideathon,Submit an idea for Data Science project,,,hand_075_plumb_white,,,500,1,500
DTDXPUB-13,,Process Automation,Migrate manual reporting to Qlik Sense Nprinting,,,hand_051_bucket_yellow,,,"1,000",1,"1,000"
DTDXPUB-14,,Adhoc,Complete survey on Data Analyst/Stewards,,,eye_017_eyemask_blue,,,500,1,500
,,,,,,,,,,,
admin access to bear (mascot):,,,,,,,,,,,
shermin_wong@pub.gov.sg,,,,,,,,,,,
